,Mkt,Mkt_cumret,Mkt_std
1969-12,0.44203821656050973,-0.43295903627217935,-0.16227817718332682
1970-01,-0.012993630573248316,-0.42891794790140014,-0.16579413848975322
1970-02,0.05222929936305745,-0.4497527915756013,-0.1620812099803559
1970-03,-0.22853503184713364,-0.48577827619487335,-0.09889699867927826
1970-04,0.4466242038216562,-0.44537627174188243,-0.02515447784582414
1970-05,0.12866242038216574,-0.48458037309788404,-0.04656292080473268
1970-06,-0.3814012738853503,-0.6550818922050374,0.13404773106013979
1970-07,-0.17197452229299354,-0.6508740527816508,0.12845428071797937
1970-08,-0.11184713375796168,-0.6319225792661531,0.10655211389126884
1970-09,0.5332484076433123,-0.601152568248063,0.18789412475079414
1970-10,0.40942675159235686,-0.4910653734141398,0.2711722278510247
